,1q21.3  ,1q44    ,3p25.1  ,3q26.32 ,4q13.3  ,5p15.33 ,6p23    ,6q21    ,8p11.23 ,8p11.21 ,8q24.21 ,10p15.1 ,10q22.3 ,11p13   ,11q13.3 ,11q14.1 ,12p13.33,12q15   ,13q34   ,14q21.1 ,15q26.3 ,17p11.2 ,17q12   ,17q23.1 ,19p13.12,19q12   ,19q13.42,20q13.2 ,1p36.13 ,1p21.2  ,2q37.3  ,3p21.31 ,4p16.3  ,4q35.2  ,5q11.2  ,5q21.3  ,6p25.3  ,6q15    ,6q27    ,7p22.3  ,7q36.1  ,8p23.2  ,9p23    ,9p21.3  ,9q21.11 ,9q34.2  ,10q23.31,10q26.3 ,11p15.5 ,11q13.1 ,11q23.3 ,11q25   ,12p13.1 ,12q23.1 ,12q24.31,13q14.2 ,14q24.1 ,14q32.12,15q13.1 ,16q24.3 ,17p12   ,17q21.31,18q23   ,19p13.3 ,19q13.32,20p13   ,21q11.2 ,22q11.1 ,22q13.32
TCGA.C8.A278,0.0,-0.1671,0.2284,0.2667,-0.2676,-0.1381,0.018,0.4356,-0.4065,0.4324,0.5788,0.0285,0.0309,-0.204,0.158,0.158,-0.1024,0.1242,-0.2098,-0.0346,-0.1399,-0.3471,3.6569,0.9473,0.0145,-0.1514,-0.1514,0.265,-0.1594,0.0,0.0072,-0.0083,-0.2676,-0.2676,-0.1381,-0.1381,0.018,0.018,0.0036,0.029,0.029,-0.4105,0.0254,0.0254,0.0254,0.0738,0.0309,0.0309,-0.204,0.158,0.158,0.158,-0.1024,0.1242,-0.3128,-0.2149,-0.0346,-0.1471,-0.1399,-0.3441,-0.3471,-0.3422,-0.2336,0.0097,-0.1514,0.265,0.2265,-0.0219,-0.0219
TCGA.C8.A27A,0.0734,0.0734,0.0821,-0.0309,0.0258,-0.424,-0.3745,-0.377,3.6569,3.6569,3.6569,0.0596,-0.7543,0.8548,-0.1793,1.262,-0.6427,-0.3105,0.0266,0.1045,1.5659,-0.6934,0.9667,0.8468,-0.6768,-0.6768,-0.6768,0.443,-0.2405,-0.3362,-0.3053,0.012,0.0195,0.0308,-0.7555,-0.7372,-0.3601,-0.377,-0.3787,0.0562,0.0665,-0.8103,-0.3981,-0.0167,0.0355,0.1294,-0.7543,-0.9258,-0.7182,-0.5629,-0.2754,-0.2754,-0.7422,-0.3074,-0.3315,0.0266,0.1045,0.1045,1.4698,0.0314,-0.7322,0.1958,-0.1188,-0.6236,-0.6768,0.0593,0.1438,-1.2929,-0.8437
TCGA.C8.A27B,0.4808,1.3919,-0.3795,0.4308,-0.3623,0.6997,0.0,0.1069,0.0429,0.421,2.0036,0.4238,0.0487,0.4223,0.0281,0.042,-0.4018,0.0652,0.1083,-0.3457,0.0554,-0.3912,-0.3912,-0.3912,0.3814,0.3661,-0.397,-0.3946,-0.4024,0.4808,0.0629,-0.3754,-0.3743,-0.8058,-0.3826,-0.3773,-0.4028,-0.3542,-0.3735,-0.3684,-0.3458,-0.8365,2.0733,-0.3926,0.4121,-0.3865,-0.3722,-0.0042,0.0424,-0.3628,-0.8464,-0.8464,-0.7942,0.0392,-0.003,-0.3693,-0.37,-0.3899,-0.038,0.3211,-0.3912,-0.3912,-0.81,0.0278,-0.397,0.021,-0.3552,0.0351,0.4572
TCGA.C8.A3M7,0.3327,0.679,0.0028,0.0028,-0.029,0.0074,-0.0466,-0.0466,-0.0021,-0.0021,0.0061,0.0181,0.0216,-0.0185,-0.0163,-0.0163,0.0188,0.0188,0.0,0.0236,-0.07,-0.3493,-0.3493,-0.3493,0.048,0.0363,0.0363,0.0269,-0.1405,-0.1405,-0.1343,0.0028,-0.0073,-0.0323,0.0074,0.0074,-0.0466,-0.0466,-0.0466,0.3023,0.3083,-0.0021,0.0046,0.0046,0.0046,0.0194,0.0216,0.0309,-0.0185,-0.3546,0.0283,-0.0091,0.0188,0.0188,0.0188,0.0046,0.0236,0.0236,-0.07,-0.3522,-0.3493,-0.3493,-0.3713,0.048,0.0363,0.0269,-0.0117,0.031,0.031
TCGA.C8.A3M8,1.0136,1.1372,-0.0047,1.1564,0.0011,0.118,-0.0129,-0.0048,0.5603,0.5603,-0.0144,0.0006,0.0305,0.0079,1.7576,-0.6371,-0.0082,-0.0082,-0.6404,-0.0003,0.0,-0.0443,0.5597,0.5597,-0.0275,-0.0275,-0.0284,0.6143,-0.0292,-0.0124,-0.0008,-0.6546,0.0011,0.0011,0.0776,0.0776,-0.6662,-0.0048,-0.0048,-0.0073,-0.0018,-0.6487,0.0058,0.0058,0.0058,0.0058,-0.6417,-0.6417,0.0079,-0.6708,-0.6421,-0.6421,-0.0082,-0.0082,-0.0082,-0.6404,-0.0003,0.0069,0.0,-0.6467,-0.6544,0.5597,0.0086,-0.0275,-0.0275,0.6143,-0.0012,-0.0014,-0.0014
TCGA.C8.A8HP,-0.0435,0.189,-0.1628,0.1234,-0.1571,0.0272,-0.0113,0.416,0.1293,-0.059,0.0698,0.095,1.8912,-0.1178,-0.1178,-0.1178,0.0544,0.0544,0.0,-0.1619,-0.1875,-0.1872,3.6569,0.164,-0.1929,0.0029,0.0858,1.6655,-0.0435,-0.0435,0.1099,-0.1628,-0.0393,-0.1635,0.0272,0.0272,-0.0113,-0.0113,-0.1775,0.0899,0.0899,-0.3256,-0.1734,-0.1734,0.2925,0.2925,-0.1734,-0.1734,-0.0363,-0.1178,-0.1178,-0.1178,0.0544,0.1069,0.1069,0.0,-0.1809,-0.1809,0.8518,0.3113,-0.1872,-0.1841,0.091,-0.1455,-0.1925,-0.0602,-0.2667,-0.1841,-0.1841
TCGA.C8.A8HQ,0.6222,0.6061,0.0413,0.0083,-0.0218,0.0111,0.0229,0.0,-0.5809,-0.5809,0.0125,0.018,0.0202,0.0261,0.6297,-0.5981,-0.016,-0.0102,-0.0043,0.034,0.0309,-0.5744,0.0473,0.0473,-0.1969,-0.1969,-0.1969,-0.2457,-0.5705,-0.5979,0.024,-0.6041,-0.0292,-0.0218,-0.0071,-0.0071,0.023,0.0,0.0142,0.0106,0.0127,-0.626,-0.0037,-0.0037,-0.0037,0.0205,0.0202,-0.5966,0.0261,-0.6133,-0.604,-0.604,-0.016,-0.0102,-0.0102,-0.0043,0.034,0.0536,0.0309,-0.5828,-0.5744,0.0473,0.0262,-0.1969,-0.1969,-0.2457,-0.631,0.0746,0.0746
TCGA.C8.A8HR,0.151,0.151,-0.0473,0.0819,-0.0448,0.0721,-0.1174,-0.1174,0.1084,0.1084,0.2575,0.0188,0.0188,0.1152,0.0163,0.0163,0.0109,0.0198,-0.1844,-0.061,-0.0291,0.0303,0.0303,0.0303,-0.0015,-0.0015,-0.0201,0.1606,0.0,0.151,0.0121,-0.0473,-0.0799,-0.1637,-0.1911,-0.1911,-0.1174,-0.1174,-0.1954,0.0519,0.0519,-0.1963,-0.1107,-0.1107,-0.1107,-0.1107,0.0188,0.0188,0.1152,0.0163,0.0188,0.0188,0.0198,0.0198,0.0198,-0.192,-0.061,-0.061,0.1006,-0.0948,0.0303,0.0303,-0.0451,-0.1876,-0.0201,0.1606,-0.1942,-0.0112,-0.0112
TCGA.D8.A1J8,0.3812,1.1193,-0.3971,-0.3971,-0.3991,0.4036,0.3569,0.3487,-0.2221,-0.2221,-0.2221,-0.3955,-0.3955,-0.27,-0.27,-0.27,0.3926,0.3772,-0.3993,0.3933,-0.3857,-0.3912,-0.3912,-0.3912,0.3731,0.3731,0.3731,0.4254,-0.3864,-0.3864,0.3465,-0.3971,0.4133,-0.4051,0.4036,0.3829,0.3569,0.3487,0.3488,0.3863,0.3863,-0.2221,0.3936,0.3936,0.3936,0.3936,-0.3955,-0.3955,-0.2683,-0.27,-0.27,-0.2689,0.3926,0.3772,0.3772,-0.4045,0.3933,0.4036,-0.3791,-0.3793,-0.3912,-0.3912,-0.3839,0.3731,0.3731,0.4254,-0.3924,-0.383,-0.383
TCGA.D8.A1J9,0.6712,0.6712,-0.5445,0.6282,-0.0941,0.1355,0.0467,-0.3155,-0.4981,-0.7838,0.5027,0.0362,-0.2314,-0.5963,0.5647,0.6179,0.0461,0.0461,-0.2496,0.0571,0.0852,-0.614,3.6569,-0.0677,0.0,0.0,0.0,0.0539,0.0309,0.0309,0.0757,-0.5769,0.0135,-0.0941,0.0049,-0.0014,0.0467,-0.3155,-0.0076,-0.4896,-0.0515,-0.7984,-0.7108,-0.7108,-0.8542,-0.8921,-0.2314,-0.2314,-0.6156,0.5647,-0.6125,-0.6125,0.0461,0.0461,0.0359,-0.2496,0.0571,0.0571,-0.6048,-0.6072,-0.6252,-0.5992,-0.9848,-0.0148,0.0,-0.6566,-0.0857,0.1482,-0.0744
TCGA.D8.A1JA,0.6868,0.7283,0.0062,0.0076,0.9622,0.0269,0.0092,0.0092,0.0107,0.0107,0.0107,-0.0008,-0.0008,0.0085,-0.001,-0.001,0.0,-0.0057,-0.7427,-0.0018,0.7006,-0.0181,3.6569,-0.0214,-0.0383,-0.0383,-0.0383,-0.0077,-0.8005,-0.0066,-0.7595,0.0062,-0.7804,-0.7413,-0.7695,0.0128,0.0283,0.0092,0.0092,0.0083,-0.7674,0.0107,-0.7589,3.2865,-0.0052,0.0195,-0.0026,0.0443,0.0044,-0.001,-0.7862,0.0458,0.0,-0.0057,0.0026,-0.7427,-0.0018,0.0171,-0.0134,0.0093,-0.7873,-0.7839,-0.7625,-0.0383,-0.0383,-0.0077,-0.001,-0.0316,0.0072
TCGA.D8.A1JB,0.1136,0.4647,0.0903,0.0802,-0.0035,-0.2174,0.3145,-0.1225,0.0899,0.0899,0.0899,0.1271,-0.2139,-0.0637,-0.0637,-0.0637,0.0094,0.0094,0.0518,0.0868,0.4071,0.2725,0.2725,0.2725,-0.0015,-0.0015,-0.0015,0.2035,-0.1144,0.1136,-0.3092,-0.2155,-0.0035,-0.0732,-0.1237,-0.1237,0.1745,-0.1225,-0.1225,0.0848,0.0802,-0.2212,0.0721,-0.2051,0.0638,0.0638,-0.2139,-0.2139,-0.0637,-0.0637,-0.0637,-0.0637,0.0094,0.0094,0.0054,0.0518,-0.2116,0.0738,-0.0695,0.0567,-0.238,0.2725,-0.0669,-0.0015,-0.0015,0.2035,-0.21,0.0608,-0.2325
TCGA.D8.A1JC,0.7585,0.7629,0.0714,0.0547,0.0965,0.0,-0.5145,0.0244,3.6569,0.4941,1.4445,0.08,0.0733,0.0662,3.6569,3.6569,0.1117,0.1117,-0.6685,-0.1535,0.0497,0.1416,0.1416,0.1416,-0.6526,-0.1895,0.0773,2.7929,-0.6567,-0.6549,-0.0927,-0.6734,0.0965,0.0557,0.0,0.0,-0.5145,0.0244,-0.7453,0.0863,0.0295,-0.7052,-0.6667,-0.6667,-0.1769,-0.1608,-1.0053,-0.6615,-0.6634,0.0928,-0.6645,-0.6771,0.1117,0.1146,0.1146,-0.6685,-0.1535,-0.1535,0.0508,-0.6219,-0.6544,0.1416,-0.6481,-0.6526,-0.1895,-0.0524,-0.6892,0.0598,0.1037
TCGA.D8.A1JD,0.3618,0.8564,-0.3485,0.5836,0.4828,-0.0084,0.0076,-0.3517,-0.6965,-0.6965,1.9242,0.4835,0.3381,0.5542,0.74,0.0201,0.1421,0.1421,-0.4149,0.4946,-0.3106,0.0978,0.0978,0.0978,-0.0061,-0.0061,-0.0201,0.6672,-0.3222,-0.0032,0.0,-0.3328,0.4828,0.4483,-0.0084,-0.0084,0.0076,-0.3517,-0.7126,-0.4865,-0.5847,-0.6965,0.2299,0.2475,0.2475,0.2475,0.3381,0.3366,0.5542,0.0011,-0.6074,-0.6074,0.1421,0.1421,-0.6996,-1.0142,0.4946,0.4946,-0.0641,-0.6791,-0.6587,0.0978,-0.0341,-0.0061,-0.0201,0.6672,-0.6669,0.3184,-0.3114
TCGA.D8.A1JE,0.3961,0.3961,0.0146,0.0189,-0.3902,0.4185,-0.4076,-0.3865,0.0096,0.0096,0.0096,-0.4204,0.1227,-0.4159,-0.4159,-0.4159,-0.4136,0.3679,-0.3904,0.0062,-0.4186,-0.4456,0.0955,0.0955,-0.0665,-0.0665,-0.0665,0.3658,-0.4163,-0.4163,0.0,0.0146,-0.4552,-0.4201,0.4299,0.4299,-0.4076,-0.4076,-0.4219,-0.4069,-0.4069,0.0096,1.1813,-0.3971,0.3771,0.3771,0.1227,0.1227,-0.4159,-0.4159,-0.4068,-0.4068,-0.4136,0.3679,0.3374,-0.3904,0.0062,0.0062,-0.4186,-0.4272,-0.4456,0.0955,-0.4038,-0.0665,-0.0665,0.3658,0.0024,0.341,0.341
TCGA.D8.A1JF,0.3727,1.0602,0.3604,-0.0201,-0.3957,0.5362,0.597,-0.0216,1.6852,1.6852,1.718,0.3471,0.2298,-0.0565,0.3218,0.3218,-0.0044,-0.0124,0.5887,0.3514,-0.4157,0.1502,0.1502,0.1502,0.3155,0.3155,0.3405,0.7231,-0.3795,-0.3735,0.0039,-0.0165,-0.4325,-0.3996,-0.4021,-0.397,0.5864,-0.0186,-0.0634,0.6802,0.6562,1.6852,-0.417,-0.4139,-0.0306,-0.3991,-0.4111,-0.4111,-0.0565,0.3218,0.3218,0.2716,-0.0044,-0.0073,-0.0414,0.5961,0.3514,0.3482,-0.405,0.317,0.1502,0.1502,0.1639,-0.7577,0.3563,0.7116,-0.3672,-0.0312,-0.0312
TCGA.D8.A1JG,0.0647,0.0624,-0.2531,-0.2447,0.4125,0.4271,-0.2474,0.8267,-0.27,-0.27,0.7306,-0.232,-0.2512,0.0487,0.0,0.0,-0.227,0.0686,-0.6097,-0.2545,-0.2398,-0.5988,0.7342,0.121,0.0879,3.5386,-0.2482,0.4391,-0.0242,0.0647,0.1069,-0.2341,-0.3341,0.3526,-0.6179,-0.6261,-0.2474,3.6569,-0.268,0.4326,-0.2652,-0.2807,-0.6115,-0.6115,0.1591,0.1591,-0.2512,-0.2512,0.0487,0.0,0.0,0.0,-0.1601,0.0686,0.0273,-0.6097,-0.2434,-0.2434,-0.2398,-0.2384,-0.5988,-0.5579,-0.2511,0.0879,-0.2482,0.4601,0.7365,-0.2312,-0.2557
TCGA.D8.A1JH,-0.0012,-0.0012,-0.0176,-0.0046,0.1172,0.1637,-0.0047,-0.0047,0.1922,0.1922,0.1922,-0.0189,0.0141,-0.0161,-0.0161,-0.0161,0.0006,0.0006,-0.0234,0.0,0.0946,0.0025,0.0025,0.0025,0.1181,0.1181,0.1181,0.1205,-0.0012,-0.0012,0.0021,-0.0176,0.1264,0.1622,0.1637,0.1591,-0.0047,-0.0047,-0.0047,-0.0079,-0.0079,0.164,-0.0077,-0.0077,-0.0077,-0.0077,0.0141,-0.0201,-0.0161,-0.0161,-0.0149,-0.0169,0.0006,-0.0012,-0.0012,-0.0234,0.0,0.0,0.0946,0.0467,0.0025,0.0025,-0.1168,0.1181,0.1181,0.1237,0.1098,-0.0324,-0.0324
TCGA.D8.A1JI,0.4405,0.4693,0.0175,0.0175,0.0371,0.0367,0.0986,-0.7784,0.8282,0.8282,0.0014,0.0096,-0.8986,0.0244,1.755,-0.8808,0.0,0.0,-0.943,0.0168,-0.0028,-0.0583,-0.0583,-0.0583,-0.1126,-0.1126,-0.1153,0.6559,-0.4472,-0.4472,-0.4455,0.0175,0.0371,0.0371,0.0367,0.0367,0.0986,-0.7784,-0.801,0.026,0.0205,-0.9135,0.0369,-0.8896,-0.8896,-0.0661,-0.8986,-0.8986,-0.0527,-0.9398,-0.8989,-0.8989,0.0,0.0,0.0,-0.8784,0.0168,0.0168,-0.0028,-0.9093,-0.0583,-0.0583,-0.2385,-0.1126,-0.1153,0.6651,0.0114,-0.0713,-0.0662
TCGA.D8.A1JJ,0.5674,0.5748,3.6569,0.1906,-0.4806,0.3028,-0.1738,0.4161,-0.8674,-0.8674,0.152,0.0528,0.0521,-0.0247,-0.0247,-0.0247,0.0371,0.0371,0.1553,-0.2368,0.0475,-0.5154,-0.5082,0.6388,-0.1635,-0.517,-0.2014,0.0832,-0.1832,-0.249,0.0,-0.4732,-0.3116,-0.53,0.3028,0.3028,-0.1654,0.4145,0.4538,-0.5249,-0.2925,-0.8674,-0.5169,-0.5169,-0.5169,-0.4052,0.0521,0.0707,-0.0519,-0.0247,-0.0253,-0.0253,0.0371,0.0371,0.0371,0.0274,0.0592,-0.221,0.023,-0.1841,-0.5154,-0.5082,-0.155,-0.1635,-0.2014,0.0409,0.0681,-0.4963,-0.4963
TCGA.D8.A1JK,0.2012,-0.0793,-0.2982,0.0615,-0.2727,0.6629,-0.0409,0.0993,-0.0387,0.4815,0.2272,0.3699,-0.2987,-0.2816,0.0842,0.0842,0.052,0.052,-0.3219,0.2586,-0.0668,-0.3067,-0.3053,0.1425,-0.0322,-0.2679,0.0875,2.224,-0.0073,-0.0256,0.0168,-0.2982,-0.3034,-0.1654,-0.8472,-0.286,-0.0314,0.2796,0.0521,0.472,1.4687,-0.8855,-0.1763,-1.111,-0.2977,0.1815,-0.0375,-0.3305,-0.6498,0.0842,-0.287,0.4996,0.052,0.052,-0.2933,-0.1887,0.2784,0.7637,-0.0494,-0.0408,-0.329,-0.3053,0.0828,-0.0322,-0.3809,-0.5706,0.2032,0.3572,0.3397
TCGA.D8.A1JL,1.1024,0.0841,0.3039,0.7121,-0.0728,0.6007,1.7306,0.4646,0.6722,0.6722,0.6722,1.7118,0.023,-0.0181,-0.0181,-0.0181,0.6917,-0.5001,1.6184,0.6736,0.0478,-0.0161,-0.0161,-0.0161,-0.3635,0.1364,0.1364,-0.1969,0.2645,0.2536,-0.5128,-0.0331,-0.0728,-0.5308,-0.4731,-0.498,0.2942,0.4646,-0.1001,1.4262,0.1956,-0.1542,-0.0388,-0.0388,-0.0517,-0.0954,0.023,-0.5432,-0.0181,-0.0181,0.2384,0.0168,0.2181,0.0026,0.0026,-0.5032,-0.1458,-0.1458,0.0478,-0.0788,-0.0161,-0.0161,-0.4204,-0.2933,0.1364,-0.1969,-0.0365,-0.0014,-0.5323
TCGA.D8.A1JN,0.9174,0.9174,-0.0119,-0.0119,-0.0083,0.0379,-0.0083,-0.0083,-0.0061,-0.0061,-0.0061,0.0579,0.0239,0.0145,0.0089,0.0089,0.0118,0.0118,-0.0198,0.0224,0.0604,-0.8786,-0.8786,-0.8786,0.1218,0.1218,0.1218,0.0995,0.0335,0.0335,0.0026,-0.0119,-0.0083,-0.047,-0.0157,-0.019,-0.0083,-0.0083,-0.0266,0.0085,0.0,-0.0061,0.0202,0.0202,0.0202,0.1476,0.0239,0.0239,0.0145,0.0089,0.0297,0.0803,0.0118,0.0118,0.0118,-0.0198,0.0224,0.0224,0.0604,-0.8954,-0.8786,-0.8786,-0.9326,0.1218,0.1218,0.0599,0.0449,-0.872,-0.872
TCGA.D8.A1JP,0.0269,0.1237,-0.0226,0.4185,1.0646,0.0161,0.022,1.4086,-0.5967,-0.5967,1.549,0.0484,0.0303,0.0648,0.0585,0.0585,0.0257,1.1449,0.0181,-0.165,1.1736,-0.5933,0.0518,0.0518,0.052,0.052,0.1162,0.234,-0.5733,-0.6192,-0.5944,-0.6141,0.091,-0.1674,-0.6375,-0.0379,-0.6207,1.4086,0.9227,0.7482,0.0039,-0.6175,0.0449,0.0449,0.0449,0.0774,0.0303,-0.6076,-0.607,0.0585,-0.6198,0.0398,0.0257,0.011,0.011,-0.6219,-0.165,-0.165,-0.6137,-0.5834,-0.5933,0.0518,-0.6132,0.052,-0.5624,0.5958,-0.0402,-0.2459,-0.4471
TCGA.D8.A1JS,0.8073,0.8239,-0.0054,-0.0054,-0.0048,-0.0035,-0.0074,-0.0074,0.0015,0.0015,0.0015,0.0058,0.0058,0.0035,0.0035,0.0035,0.0104,-0.005,-0.0028,0.0015,0.011,0.0056,0.0056,0.0056,0.0029,0.0029,0.0029,0.0136,0.0,0.0,0.0017,-0.0054,-0.0048,-0.0048,-0.0035,-0.0035,-0.0042,-0.0074,-0.0074,-0.0008,-0.0008,0.0015,0.0028,0.0028,0.0028,0.0028,0.0058,0.0058,0.0035,0.0035,0.0035,0.0035,-0.005,-0.005,-0.005,-0.0028,0.0015,0.0015,0.011,-0.9131,0.0056,0.0056,0.011,0.0029,0.0029,0.0136,0.0053,0.0174,0.0174
TCGA.D8.A1JT,0.77,1.4938,-0.0211,-0.0211,0.7589,0.7725,-0.0055,-0.8814,0.4932,0.5012,2.9116,0.0018,-0.0006,-0.0137,-0.0137,-0.0137,0.0281,-0.0048,-0.6428,0.0,0.0086,0.8159,0.8159,0.8159,0.0547,0.0547,0.0685,0.8048,-0.0015,-0.0015,-0.0097,-0.0211,0.7901,0.752,0.7725,0.7725,-0.0055,-0.8814,-0.0278,-0.0166,-0.0166,-0.8963,0.7802,0.7802,0.7802,0.7802,-0.0006,-0.0006,-0.0137,-0.0137,-0.0137,-0.0137,0.0051,-0.0048,-0.0048,-0.6428,0.0,0.0,0.0086,-0.9019,-0.8492,0.8159,0.7787,0.0547,0.0685,0.8048,-0.0042,0.04,0.04
TCGA.D8.A1JU,0.4521,0.4521,0.0862,0.0806,-0.0185,0.0962,-0.0091,-0.0091,0.2008,0.2008,0.1991,-0.0002,0.0019,-0.0018,-0.0018,-0.0018,-0.0148,-0.0139,0.0896,0.0777,0.0954,-0.0055,-0.0055,-0.0055,0.0712,0.5081,0.5081,-0.0077,-0.0237,-0.0237,-0.0186,0.0862,-0.02,-0.0185,0.0962,0.0962,-0.0091,-0.0091,-0.0091,0.0975,-0.3542,0.2008,0.0,-0.0018,-0.0018,-0.0012,0.0019,0.0019,-0.0018,-0.0018,-0.0018,-0.0018,-0.0148,-0.0124,-0.0124,0.0896,0.0777,0.0731,0.0954,-0.3543,-0.0055,-0.0055,0.092,0.0712,0.5081,-0.0077,0.091,-0.0166,-0.0166
TCGA.D8.A1X5,0.7306,1.4424,-0.4045,0.7536,-0.3915,-0.3883,0.6539,0.4043,-0.8028,-0.8273,1.1403,0.4088,-0.3943,0.0139,0.7754,2.8269,-0.394,-0.3927,-0.3972,0.3966,0.0113,-0.3924,3.6569,0.0485,-0.0333,-0.0333,0.3551,2.1977,-0.3986,0.7078,-0.0033,-0.4045,0.0231,0.0,0.0203,0.0203,0.6539,0.4043,0.4043,0.0057,-0.4152,0.0003,-0.4023,-0.3901,-0.3901,-0.4007,-0.3943,-0.3943,0.0139,0.0324,-0.3985,-0.3985,-0.394,-0.3927,0.1765,-0.3988,0.3966,0.3966,0.0113,-0.3821,-0.3924,-0.3825,-0.3886,-0.111,-0.0333,0.466,0.0094,-0.3836,-0.3836
TCGA.D8.A1X6,0.0086,0.0086,0.076,0.0698,-0.0148,0.72,-0.0065,-0.0065,0.9534,1.8345,2.1896,0.0121,0.0121,-0.3497,-0.3497,-0.3497,0.0,0.0,-0.3581,0.0142,0.0333,0.0279,0.0279,0.0279,0.1018,0.1018,0.1018,0.0344,0.0086,0.0086,-0.3316,0.076,-0.0148,-0.0112,0.72,0.72,-0.0065,-0.0065,-0.0065,-0.0021,-0.0021,-0.9914,-0.3485,-0.3485,-0.3485,-0.3198,0.0121,0.0121,-0.3497,-0.3497,-0.3497,-0.3366,0.0,0.0,0.0,-0.3583,0.0142,0.0142,0.0246,-0.722,0.0279,0.0279,0.0135,0.1018,0.1018,0.0344,-0.3422,0.0433,0.0433
TCGA.D8.A1X7,1.7722,1.7837,0.0007,0.0007,0.0049,0.0032,-0.0109,0.0029,-0.0026,-0.0026,-0.0026,-0.0077,-0.0077,-0.0115,-0.0115,-0.0115,-0.0066,-0.0066,0.0012,-0.0095,-0.0162,-0.0221,-0.0221,0.6293,-0.033,-0.033,-0.033,-0.0173,-0.0204,-0.0024,0.0046,0.0007,0.0012,0.003,0.002,0.0003,-0.0109,0.0029,0.0029,-0.0018,-0.0179,-0.0026,-0.013,-0.013,-0.013,-0.013,-0.0077,-0.0077,-0.0115,-0.0115,0.0018,-0.0196,-0.0066,-0.0066,-0.0066,0.0012,-0.0095,-0.0095,-0.0173,0.6542,-0.7441,-0.029,0.0001,-0.033,-0.033,-0.0173,-0.0073,-0.0233,-0.0233
TCGA.D8.A1X8,0.4596,0.4596,0.0,-0.0053,-0.0072,-0.0007,0.0001,-0.0083,-0.5279,0.0001,0.0001,0.0044,0.0044,0.0057,0.5498,0.5104,-0.0091,-0.0059,-0.0058,-0.0012,0.0069,0.0089,0.0089,0.0089,0.0046,0.0046,0.0046,0.0168,-0.4937,-0.0024,-0.011,0.0,0.0192,-0.0072,-0.0007,-0.0007,0.0001,-0.5296,-0.0083,0.0015,0.0015,-0.5279,0.0026,0.0026,0.0026,0.0026,0.0044,0.0044,-0.5103,0.0057,-0.5117,-0.5117,-0.0091,0.0035,0.0035,-0.0058,-0.0012,0.0064,0.0069,-0.5112,0.0089,0.0089,0.0053,0.0046,0.0046,0.0168,-0.0011,0.0257,0.0257
TCGA.D8.A1X9,-0.0137,-0.0064,0.0081,-0.0017,0.0,0.5852,0.5332,-0.7482,0.0234,0.0234,0.7055,0.7012,0.0044,0.009,0.7733,-0.7313,-0.0153,0.711,-0.7587,0.7222,0.1007,-0.03,0.6581,1.2777,-0.047,-0.0398,-0.0679,0.7221,-0.0189,0.0069,-0.0142,0.0081,-0.8373,0.1341,0.0046,-0.7313,0.5534,-0.7482,-0.0245,0.689,0.0002,-0.7582,-0.6158,-0.6158,-0.0055,-0.0166,0.0044,-0.0101,0.0122,-0.0134,-0.7446,-0.7703,-0.7556,0.0035,-0.0225,-0.7366,-0.0307,-0.05,0.0019,-0.7769,-0.7764,0.6581,-0.7409,-0.7789,-0.0691,-0.6089,0.0157,-0.7743,-0.7743
TCGA.D8.A1XA,0.1,0.1,0.1004,0.1004,0.1124,0.839,-0.723,-0.6981,0.0936,0.0936,0.0936,0.0599,0.0695,0.0838,0.0838,0.0838,0.077,0.077,-0.6982,-0.705,0.0026,0.0,0.0,0.0004,-0.1127,-0.1127,-0.1127,0.7306,0.1,0.1,-0.6838,0.1004,-0.7423,0.1308,-0.7,-0.7,-0.7326,-0.6981,-0.7427,-0.241,-0.2629,0.0936,-0.7174,-0.7174,-0.7174,-0.7822,0.0695,0.0695,0.0838,0.0838,0.0838,0.0838,0.077,0.077,0.077,-0.6839,-0.705,-0.7367,0.0026,0.0147,-0.7838,0.0,-0.6572,-0.1127,-0.1127,-0.75,-0.2697,-0.7883,-0.7883
TCGA.D8.A1XB,0.6759,0.6701,-0.1173,0.2134,0.0275,0.3308,0.0,-0.4115,0.3442,0.3392,0.3392,-0.2007,-0.2007,0.0146,0.0146,0.0146,0.0049,0.0049,0.0694,-0.2012,-0.2031,0.1096,0.1096,0.1096,-0.0058,-0.0058,0.0142,0.137,-0.0256,-0.0174,-0.1735,-0.1173,0.0275,0.0265,0.3308,0.3308,-0.3466,-0.4115,-0.1548,-0.1152,-0.1066,0.3442,0.1348,0.1348,0.1348,0.1842,-0.2007,-0.2007,0.0146,0.0146,0.0146,0.0146,0.0049,0.0049,0.0049,0.0694,-0.2012,-0.2012,-0.2061,-0.3033,0.1096,0.1096,0.044,-0.0058,0.0142,0.137,-0.4001,-0.1618,-0.1618
TCGA.D8.A1XC,0.7712,0.7874,0.0019,0.0054,0.0033,0.0004,0.0007,0.0007,-0.0032,-0.0032,-0.0032,-0.0048,-0.0048,-0.0032,-0.0054,-0.0054,-0.0035,-0.0035,0.0031,-0.0044,-0.0089,-0.0153,-0.0153,-0.0153,-0.0173,-0.0173,-0.0173,-0.0117,-0.0064,-0.0064,0.0016,0.0019,0.0033,0.0033,0.0004,0.0004,-0.8783,0.0007,0.0075,0.0,0.0,-0.0032,-0.0073,-0.0073,-0.0073,-0.0073,-0.0048,-0.0048,-0.0032,-0.0032,-0.0054,0.0026,-0.0035,-0.0035,-0.0035,0.0031,-0.0044,-0.0044,-0.0089,-0.0046,-0.0153,-0.0153,-0.0006,-0.0173,-0.0173,-0.0117,-0.0012,-0.0151,-0.0151
